[14:53:45] [INFO] received Windows console close event; shutting log-core down
[12:39:57] [INFO] received Windows console close event; shutting log-core down
[18:25:13] [INFO] received Windows console close event; shutting log-core down
[01:39:47] [INFO] received Windows console close event; shutting log-core down
[11:47:57] [INFO] received Windows console close event; shutting log-core down
[23:24:06] [INFO] received Windows console close event; shutting log-core down
[01:28:47] [INFO] received Windows console close event; shutting log-core down
[13:23:43] [INFO] received Windows console close event; shutting log-core down
[15:18:52] [INFO] received Windows console close event; shutting log-core down
[16:05:18] [INFO] received Windows console close event; shutting log-core down
[16:07:41] [INFO] received Windows console close event; shutting log-core down
